id,creationdate,score,viewcount,title,answercount,tags,quest_name
48046500,1/1/2018 0:35,1,126,Array in Pandas Dataframe,1,"python, json, pandas",Tobi
48046520,1/1/2018 0:41,1,131,Pandas manual label encoding,0,"python, pandas",Marvin Taschenberger
48046643,1/1/2018 1:26,0,487,Write Pandas Dataframe to CSV with a variable name in pathway,1,"pandas, operating-system, export-to-csv, sys",Matt
48046647,1/1/2018 1:27,0,136,Adding a time index to a pandas dataframe from google finance,1,"python, pandas, datetime, indexing, google-finance-api",pmillerhk
48046766,1/1/2018 2:07,-3,52,"How to convert values of a pandas data frame column to a numeric representation based on the number of unique values, all at once in Python?",1,"python, pandas",user2277675
48047711,1/1/2018 6:50,1,47,create a dictionary in python from columns of a dataframe,1,"python, pandas, dictionary, key-value",Shuvayan Das
48047782,1/1/2018 7:04,0,39,pandas clever way of setting columns under conditions,2,"python, pandas",user8641707
48047935,1/1/2018 7:36,1,55,Pandas misinterpreting date column in CSV file,1,"python, pandas, csv, datetime",codenut
48048322,1/1/2018 8:50,1,34,Summing up values across multiple columns into groups which are defined in a dictionary,1,"python, pandas, dictionary",Shuvayan Das
48048504,1/1/2018 9:25,0,956,LabVIEW TDMS file read with python pandas,1,"python-3.x, pandas, labview",Sundar N
48048515,1/1/2018 9:27,-3,52,Rewrite NLTK code to a function which can be used multiple times in Python,1,"python, function, pandas, nltk",Snehal pankaj
48048577,1/1/2018 9:38,0,29,Formatting dataframe output into JSON records by group,1,"python, json, pandas, dataframe, group-by",Aman Singh
48049087,1/1/2018 10:59,8,2098,NLTK-based text processing with pandas,1,"python, string, pandas, dataframe, nltk",ashok eapen
48049206,1/1/2018 11:18,0,39,Calculating percentile of each device_id in a particular column,0,"python, pandas, percentile",Shuvayan Das
48049635,1/1/2018 12:24,3,63,Transform pandas dataframe to another layout,2,"python, pandas, dataframe",user9160422
48049690,1/1/2018 12:33,0,24,Vectorized operations on 2 columns of different dataframes,0,"python, pandas",Erick
48050391,1/1/2018 14:18,1,41,Select python data-frame columns with similar names,2,"python, python-2.7, pandas, subset",Xiatingp
48050769,1/1/2018 15:13,3,2054,Pandas dataframe to flask template as a json,1,"python, json, pandas, flask",Tobi
48050906,1/1/2018 15:32,0,29,Multiple filter operations on the same dataframe [Pandas],1,"python, pandas",Muhammad Asif Khan
48050998,1/1/2018 15:45,0,492,Label Binarizer: Multiple Columns,2,"python, python-3.x, pandas, scikit-learn",WhiteSolstice
48051028,1/1/2018 15:49,0,1728,Convert a string to date Format: DD-MMM-YYYY to date time in Python,1,"python, string, pandas, date, dataframe",Viky N
48051100,1/1/2018 15:56,4,8925,python pandas merge multiple csv files,3,"python, pandas, csv, datetime",Sayed Gouda
48051178,1/1/2018 16:08,0,235,Python. creating Pie chart using existing Object?,0,"python-3.x, pandas, matplotlib, jupyter-notebook, pie-chart",Aziz Bokhari
48051257,1/1/2018 16:19,-1,73,Join two Dataframe table,2,"python, pandas",doron
48051767,1/1/2018 17:30,0,272,Creating Bigrams Phrases of a Column in Pandas using Gensim and attaching it to the to same dataframe,0,"pandas, nlp, word2vec, gensim, word-embedding",Rahul rajan
48051800,1/1/2018 17:35,1,1987,Why DBSCAN clustering returns single cluster on Movie lens data set?,3,"python, pandas, cluster-analysis, dbscan",T3J45
48052125,1/1/2018 18:20,5,2640,Why do I get an AttributeError when using pandas apply?,3,"python, pandas, dataframe, apply, attributeerror",LPR
48052572,1/1/2018 19:24,0,40,Creating a Backup Dataframe from Entries Discarded by Pandas drop_duplicates(),1,"python, pandas",HMLDude
48052898,1/1/2018 20:11,0,267,Merging pandas dataframes on dictionary,1,"python, pandas",Bjoern
48053134,1/1/2018 20:48,1,310,Accessing the columns of pivot table in Python Pandas,0,"python, pandas, data-science, pandasql",dharmendra mishra
48053139,1/1/2018 20:49,0,1002,Pandas - Turning column of mixed positive / negative numbers to positive,3,"python, pandas",Jasper
48053207,1/1/2018 21:02,1,5753,Writing single CSV header with pandas,1,"python, pandas, csv, dataframe, header",HelloToEarth
48053220,1/1/2018 21:04,1,343,Python/Pandas Subtract Only if Value is not 0,2,"python-3.x, pandas, dataframe, subtraction",Kimmy
48053389,1/1/2018 21:32,0,168,DBAPI syntax with pd.read_sql_query() call,1,"python, pandas, sqlite3",3novak
48053470,1/1/2018 21:43,2,105,Why don't these two table join in Python?,3,"python, python-3.x, pandas",dre
48053823,1/1/2018 22:37,2,73,Tokenize and count tokens in grouped Pandas dataframe,0,"python, pandas, nlp, nltk, tokenize",user9161710
48053885,1/1/2018 22:47,0,328,"Pandas: df.equals always returns false, even if True",2,"python, pandas",Jasper
48053972,1/1/2018 23:03,0,532,"Pandas: ""data type datetime not understood"" error in date offset operation",0,"pandas, numpy, datetime",iwbabn
48053981,1/1/2018 23:04,0,222,What is the most efficient way to dedupe a Pandas dataframe that has typos?,1,"python, pandas, nlp, python-dedupe",CJ Sullivan
48054298,1/2/2018 0:13,0,35,Finding nearest timeindex for many categories,2,"python, pandas, time-series",tales
48054473,1/2/2018 0:57,2,322,Python Pandas - from data frame create an array or matrix for multiplication,2,"python, arrays, pandas, numpy, matrix",
48054704,1/2/2018 1:47,2,980,TypeError: Cannot convert value dtype('<M8[ns]') to a TensorFlow DType,1,"pandas, numpy, tensorflow",CpILL
48055245,1/2/2018 3:23,0,28,How to get the last work week of the last month in previous year in Python Pandas?,1,"python-3.x, pandas, datetime",Shi Jie Tio
48055379,1/2/2018 3:48,0,86,Which Python Magic Method is Pandas Using?,2,"python, pandas, getter-setter",HaPsantran
48055428,1/2/2018 3:58,1,70,How to ensure the first work week start with 1 in python pandas?,1,"python, pandas, python-datetime",Shi Jie Tio
48055894,1/2/2018 5:17,0,63,Add data from multiple dataframe by its index using pandas,1,"python, pandas",Fregy
48055924,1/2/2018 5:21,1,183,How to use the diff() function in pandas but enter the difference values in a new column?,1,"pandas, dataframe, diff, difference",David Phooter
48056568,1/2/2018 6:37,1,24,Add Time column by adding timedelata in pandas,1,pandas,Shubham
48056977,1/2/2018 7:15,3,2764,Pandas merge TypeError: object of type 'NoneType' has no len(),1,"python, pandas",Chia Yi
48057033,1/2/2018 7:20,1,99,Slice the column list (years) based on first character,1,"python, pandas, list-comprehension, data-science",Tytire Recubans
48057864,1/2/2018 8:38,0,155,Pandas: Select all rows between two rows,2,"python, pandas",ThP
48058173,1/2/2018 9:05,3,63,Python dataframe: simple string split that includes '-',2,"python, string, pandas, dataframe, split",Kang
48058304,1/2/2018 9:16,1,354,How to apply series in isocalendar function in pandas python,1,"python, pandas, datetime",Shi Jie Tio
48058917,1/2/2018 10:06,1,14,Joining dfs horizontaly with different axis output Nan values on one of the df values,1,pandas,ge00rge
48059985,1/2/2018 11:16,2,229,pandas create boolean column using groupby transform,2,"python, python-3.x, pandas, pandas-groupby",daiyue
48059994,1/2/2018 11:17,0,161,Mark Empty values in Pandas DataFrame Multi-Row Header,3,"python, pandas, csv, dataframe",Krzysztof Słowiński
48060754,1/2/2018 12:09,0,29,"How to fill rows automatically in pandas, from the content found in a column?",1,"python, pandas",Reinaldo Chaves
48060775,1/2/2018 12:11,2,58,How to get full spelling of month is using calender module in python pandas?,2,"python, python-3.x, pandas, datetime, calendar",Shi Jie Tio
48061197,1/2/2018 12:39,3,98,"Pandas set_levels, how to avoid sorting of labels?",2,"python, pandas, multi-index",Dark
48061547,1/2/2018 13:04,0,30,Reading csv with several subgroups,1,"python-2.7, pandas",gussilago
48061793,1/2/2018 13:19,0,496,Alternatives to pandas apply due to MemoryError,1,"python, pandas, dataframe, apply",john
48062296,1/2/2018 13:56,1,37,Pandas: Keep dataframes from dict that exclude certain values,1,"python, pandas, dictionary",ThP
48062375,1/2/2018 14:02,0,95,Python Dataframe: Drop Rows if Column Contains Value From List --> Value TypeError: unhashable type: 'list',0,"python, list, pandas, dataframe, conditional",PineNuts0
48062788,1/2/2018 14:32,0,241,Pandas - calculate row value based on previous calculated row value,1,"python, pandas",bdriven
48062858,1/2/2018 14:36,1,49,Data Analyzed by Python CSV,2,"python, python-2.7, pandas, csv, dataframe",Martin Bouhier
48062996,1/2/2018 14:46,1,1005,Assign values to columns based on conditions in a pandas dataframe,3,"python, pandas, condition",Shuvayan Das
48063047,1/2/2018 14:49,3,1251,Airflow integration with BgQuery Error,2,"python, pandas, google-bigquery, airflow, apache-airflow",Tia
48063307,1/2/2018 15:09,1,54,Pandas Multiindex selecting row skipping one level,4,pandas,Ranny
48063620,1/2/2018 15:30,2,4027,pandas read_csv() for multiple delimiters,1,pandas,user77005
48063807,1/2/2018 15:44,0,677,Data slicing a pandas frame - I'm having problems with unique,1,pandas,user1361529
48064206,1/2/2018 16:09,0,71,Numpy repeat to odd length index,0,"python, pandas, numpy",Tony
48064446,1/2/2018 16:25,0,36,How can I parse my CSV file,1,"python, pandas, csv",Stef Reyes
48064468,1/2/2018 16:27,1,39,Merging multi-index dataframes based on similar groups/indexes,1,"python, pandas, sorting, merge",Mohammad ElNesr
48064965,1/2/2018 17:01,1,633,drop unused categories using groupby on categorical variable in pandas,2,"python, pandas",tales
48065402,1/2/2018 17:37,1,170,output table to left of horizontal bar chart with pandas,1,"python, python-3.x, pandas, matplotlib",Binoy Fernandez
48066517,1/2/2018 19:12,24,33297,Python: Pandas pd.read_excel giving ImportError: Install xlrd >= 0.9.0 for Excel support,7,"python, excel, python-2.7, pandas",Vineeth Sai
48066677,1/2/2018 19:26,0,57,Filter item iteration in dataframe (with FOR or any other)?,3,"python, pandas, dataframe, filter, iteration",Newbie
48066933,1/2/2018 19:47,0,112,"Pandas, sorting days whilst preserving order",2,"python, pandas",Jasper
48067021,1/2/2018 19:54,2,561,Pandas DataFrame apply or map dictionary valueassign column to function of MultiIndex value,3,"python, pandas, dictionary, dataframe, multi-index",feetwet
48067038,1/2/2018 19:55,0,242,Pandas .cov() not positive semidefinite,0,"pandas, math, matrix, covariance",Pat
48067318,1/2/2018 20:19,0,442,Python - to_csv,1,"python, pandas, amazon-redshift",jumpman23
48067726,1/2/2018 20:55,0,52,python classify predictions,0,"python, pandas, scikit-learn",jumpman8947
48067912,1/2/2018 21:13,0,700,pd.concat with multiindex,1,"pandas, multi-index",Jeff Tilton
48068270,1/2/2018 21:45,1,623,Pandas - delete rows based on multiple `or` conditions,1,"python, pandas",Craig
48068607,1/2/2018 22:18,0,26,New nulls when assigning series to dataframe column,1,"python, pandas, dataframe, null",Austin
48068850,1/2/2018 22:43,0,242,How to Use Pandas to Combine Dataframes with Duplicate Index Values,1,"python-3.x, pandas, dataframe",Kimmy
48068938,1/2/2018 22:55,2,671,set new index for pandas DataFrame (interpolating?),3,"pandas, numpy, interpolation",blokeley
48069000,1/2/2018 23:01,0,45,Writing value to given filed in csv file using pandas or csv module,1,"python, excel, pandas, csv",hikamare
48069497,1/3/2018 0:01,1,240,How do I import multiple excel files and merge them using openpyxl,0,"python, excel, pandas, csv, openpyxl",Carolina Estrella
48069954,1/3/2018 1:14,1,205,pd.read_csv killed when Reading large files,0,"python, pandas, boto3",DPs
48070143,1/3/2018 1:47,0,40,pandas (python) - reshaping two columns into one,1,"python, pandas, numpy, scipy",bullion352
48070351,1/3/2018 2:19,-1,33,None values populating while merging list to a single column dataframe,1,"python, pandas, dataframe",Rahul rajan
48070697,1/3/2018 3:17,0,750,can we predict two columns of a dataframe at same time?,2,"python, python-3.x, pandas, scikit-learn, sklearn-pandas",ganesh konathala
48070828,1/3/2018 3:38,0,88,Validate that Values in DataFrame Found in List,1,"python, list, pandas, validation, dataframe",Chris Woodruff
48071001,1/3/2018 4:05,1,117,Pandas -- Type error from Pivot,1,"python, pandas",unclegood
48071205,1/3/2018 4:33,-1,79,Getting data from S3 (client) to our S3 (company),2,"pandas, amazon-web-services, apache-spark, amazon-s3, pyspark",Raghunandan Sk
48071432,1/3/2018 5:01,1,170,Advance Rolling mean (with conditions applying) in pandas dataframe,1,"python, pandas",PUJA
